RCL,iteraciones,tct,tiempo / segundos,
2,10,8366,0.002467,
2,100,8366,0.002430,
2,1000,8366,0.002425,
2,10000,8366,0.002431,
3,10,8366,0.002475,
3,100,8366,0.002494,
3,1000,8366,0.002528,
3,10000,8366,0.002368,
4,10,8366,0.001793,
4,100,8366,0.001762,
4,1000,8366,0.001529,
4,10000,8366,0.001390,
5,10,8366,0.001504,
5,100,8366,0.001341,
5,1000,8366,0.001245,
5,10000,8366,0.001167,
6,10,8366,0.001236,
6,100,8366,0.001131,
6,1000,8366,0.001103,
6,10000,8366,0.000991,
7,10,8366,0.001009,
7,100,8366,0.001019,
7,1000,8366,0.000943,
7,10000,8366,0.000946,
8,10,8366,0.000938,
8,100,8366,0.000930,
8,1000,8366,0.000926,
8,10000,8366,0.000924,
9,10,8366,0.000944,
9,100,8366,0.000960,
9,1000,8366,0.000944,
9,10000,8366,0.000944,
