RCL,iteraciones,tct,tiempo / segundos,
2,10,13456,0.004914,
2,100,13456,0.004350,
2,1000,13456,0.003367,
2,10000,13456,0.002607,
3,10,13456,0.002530,
3,100,13456,0.002201,
3,1000,13456,0.002079,
3,10000,13456,0.001806,
4,10,13456,0.001796,
4,100,13456,0.001723,
4,1000,13456,0.001660,
4,10000,13456,0.001688,
5,10,13456,0.001690,
5,100,13456,0.001701,
5,1000,13456,0.001697,
5,10000,13456,0.001683,
6,10,13456,0.001721,
6,100,13456,0.001713,
6,1000,13456,0.001751,
6,10000,13456,0.001736,
7,10,13456,0.001740,
7,100,13456,0.001749,
7,1000,13456,0.001859,
7,10000,13456,0.001795,
8,10,13456,0.001820,
8,100,13456,0.001780,
8,1000,13456,0.001765,
8,10000,13456,0.001763,
9,10,13456,0.001801,
9,100,13456,0.001811,
9,1000,13456,0.001831,
9,10000,13456,0.001821,
